state_code,state_name,ndc11,ndc11_display,brand_name,product_ndc,product_display,package_display,sdud_status,sdud_record_count,latest_period,period_count,total_units_reimbursed,total_prescriptions,total_amount_reimbursed,medicaid_amount_reimbursed,non_medicaid_amount_reimbursed,ffsu_units,ffsu_prescriptions,ffsu_total_amount,mcou_units,mcou_prescriptions,mcou_total_amount,suppression_flag_present,nadac_latest_per_unit,nadac_effective_date,nadac_pricing_unit,notes
GA,Georgia,00006027731,00006-0277-31,JANUVIA,0006-0277,"JANUVIA 100 mg/1 TABLET, FILM COATED","JANUVIA 100 mg/1 TABLET, FILM COATED [30 TABLET, FILM COATED in 1 BOTTLE (0006-0277-31)]",hit,8,2024Q4,4,247951,8373,4616211.5300,4548792.9100,67418.6200,231421,7849,4307190.0800,16530,524,309021.4500,N,10.5529,2025-11-19,EA,
HI,Hawaii,00006027731,00006-0277-31,JANUVIA,0006-0277,"JANUVIA 100 mg/1 TABLET, FILM COATED","JANUVIA 100 mg/1 TABLET, FILM COATED [30 TABLET, FILM COATED in 1 BOTTLE (0006-0277-31)]",hit,5,2024Q4,4,119276,2200,1533102.9700,1525422.4000,7680.5700,,,,119276,2200,1533102.9700,Y,10.5529,2025-11-19,EA,
ID,Idaho,00006027731,00006-0277-31,JANUVIA,0006-0277,"JANUVIA 100 mg/1 TABLET, FILM COATED","JANUVIA 100 mg/1 TABLET, FILM COATED [30 TABLET, FILM COATED in 1 BOTTLE (0006-0277-31)]",hit,4,2024Q4,4,47897,1456,886540.4200,875412.7300,11127.6900,47897,1456,886540.4200,,,,N,10.5529,2025-11-19,EA,
IL,Illinois,00006027731,00006-0277-31,JANUVIA,0006-0277,"JANUVIA 100 mg/1 TABLET, FILM COATED","JANUVIA 100 mg/1 TABLET, FILM COATED [30 TABLET, FILM COATED in 1 BOTTLE (0006-0277-31)]",hit,8,2024Q4,4,1421268,30715,27471500.2000,27219679.6400,251820.5600,45105,1422,854603.4500,1376163,29293,26616896.7500,N,10.5529,2025-11-19,EA,
IN,Indiana,00006027731,00006-0277-31,JANUVIA,0006-0277,"JANUVIA 100 mg/1 TABLET, FILM COATED","JANUVIA 100 mg/1 TABLET, FILM COATED [30 TABLET, FILM COATED in 1 BOTTLE (0006-0277-31)]",hit,8,2024Q4,4,421087,7724,7462070.9400,7418418.6700,43652.2700,29765,582,548787.0100,391322,7142,6913283.9300,N,10.5529,2025-11-19,EA,
IA,Iowa,00006027731,00006-0277-31,JANUVIA,0006-0277,"JANUVIA 100 mg/1 TABLET, FILM COATED","JANUVIA 100 mg/1 TABLET, FILM COATED [30 TABLET, FILM COATED in 1 BOTTLE (0006-0277-31)]",hit,8,2024Q4,4,82140,2784,1493474.3300,1493474.3300,0.0000,,,,82140,2784,1493474.3300,Y,10.5529,2025-11-19,EA,
KS,Kansas,00006027731,00006-0277-31,JANUVIA,0006-0277,"JANUVIA 100 mg/1 TABLET, FILM COATED","JANUVIA 100 mg/1 TABLET, FILM COATED [30 TABLET, FILM COATED in 1 BOTTLE (0006-0277-31)]",hit,4,2024Q4,4,83327,3059,1553485.6500,1517830.4600,35655.1900,,,,83327,3059,1553485.6500,N,10.5529,2025-11-19,EA,
KY,Kentucky,00006027731,00006-0277-31,JANUVIA,0006-0277,"JANUVIA 100 mg/1 TABLET, FILM COATED","JANUVIA 100 mg/1 TABLET, FILM COATED [30 TABLET, FILM COATED in 1 BOTTLE (0006-0277-31)]",hit,8,2024Q4,4,334742,8814,6147277.0300,6147277.0300,0.0000,27310,829,501979.4600,307432,7985,5645297.5700,N,10.5529,2025-11-19,EA,
LA,Louisiana,00006027731,00006-0277-31,JANUVIA,0006-0277,"JANUVIA 100 mg/1 TABLET, FILM COATED","JANUVIA 100 mg/1 TABLET, FILM COATED [30 TABLET, FILM COATED in 1 BOTTLE (0006-0277-31)]",hit,8,2024Q4,4,460182,12532,8527659.4800,8315780.0700,211879.4100,18063,652,333446.2500,442119,11880,8194213.2300,N,10.5529,2025-11-19,EA,
ME,Maine,00006027731,00006-0277-31,JANUVIA,0006-0277,"JANUVIA 100 mg/1 TABLET, FILM COATED","JANUVIA 100 mg/1 TABLET, FILM COATED [30 TABLET, FILM COATED in 1 BOTTLE (0006-0277-31)]",hit,4,2024Q4,4,91592,2715,1698663.7800,1659287.2500,39376.5300,91592,2715,1698663.7800,,,,N,10.5529,2025-11-19,EA,
